x,y
0.0,0.528104691935328
0.20408163265306123,-2.7098896648982063
0.40816326530612246,-2.0629321950538273
0.6122448979591837,-0.048825846495043734
0.8163265306122449,-1.3057003462306769
1.0204081632653061,-7.505576167916088
1.2244897959183674,-4.16104765474474
1.4285714285714286,-6.874142988023967
1.6326530612244898,-7.2880703566483405
1.836734693877551,-6.770639730817133
2.0408163265306123,-7.813953674004774
2.2448979591836737,-5.703697884033234
2.4489795918367347,-7.60037352929785
2.6530612244897958,-9.389303028238833
2.857142857142857,-9.25513067736629
3.0612244897959187,-9.985712569741263
3.2653061224489797,-8.175107159807236
3.4693877551020407,-12.083785915286704
3.673469387755102,-11.557538066085954
3.8775510204081636,-14.402069029623858
4.081632653061225,-18.31006126432122
4.285714285714286,-12.407048523404992
4.4897959183673475,-12.495617398199357
4.6938775510204085,-16.219023918363906
4.8979591836734695,-10.70538871120846
5.1020408163265305,-18.663833390013856
5.3061224489795915,-16.17378908784609
5.510204081632653,-17.1498779041333
5.714285714285714,-14.22015585699737
5.918367346938775,-14.857200827546368
6.122448979591837,-17.99622759758576
6.326530612244898,-18.060001491407895
6.530612244897959,-21.102102107505125
6.73469387755102,-23.798327630325407
6.938775510204081,-21.042763074162508
7.142857142857143,-20.544444918934897
7.346938775510204,-18.90676557732007
7.551020408163265,-19.472791322839342
7.755102040816327,-23.162408736856722
7.959183673469388,-23.502564684824144
8.16326530612245,-25.505269195440306
8.36734693877551,-26.758403221296728
8.571428571428571,-27.841111809821452
8.775510204081632,-21.0372247197405
8.979591836734695,-26.468283955340045
9.183673469387756,-26.835332276691762
9.387755102040817,-28.974978475201894
9.591836734693878,-25.424611125070875
9.795918367346939,-30.71759161348325
10.0,-28.42548056042794
