feature1,feature2,cluster
4.978375243722516,1.5578817700399308,1
5.278471295005476,0.3116496216717721,1
-2.5226948477906843,7.956575199242423,0
5.186976217398139,1.770977031506838,1
4.929653693124514,4.04857048258617,1
3.105764665492479,3.250846505839241,1
-2.2951038789225464,7.768547349486335,0
4.981634812005261,3.8493405231566182,1
-2.1779341916491863,9.989831255320683,0
-0.6434231119079936,9.48811904911011,0
-3.109836312971555,8.722592378405047,0
-3.098562379996962,9.863888225219348,0
-1.686652710949561,7.793442478227301,0
-2.5040841664102893,8.779698994823177,0
6.163002913497759,2.5120797276253906,1
-2.4121200737047097,9.982931118731212,0
2.9704735551067296,2.516529876320667,1
-0.36525353372742453,9.648205150516334,0
-3.038957826819789,9.527553561311679,0
-1.106403312116651,7.612435065406043,0
-3.4838792932800717,9.801370731940775,0
-2.8519121395795195,8.212008858976704,0
4.627632063381187,1.0759153124549004,1
4.532848476273544,0.9379273615213579,1
-2.978672008987702,9.556846171784288,0
4.726468623701002,1.8174924485486526,1
6.793061293739658,1.2058221210526825,1
4.73687480122082,2.5683267093776454,1
3.880746174674403,2.1235634704169395,1
-2.7545857390556208,8.260549963840834,0
-1.9223405292524798,11.204741754008301,0
-1.883530275287744,8.15712857178204,0
6.604603969144491,2.008433235912461,1
-2.9557125751197715,9.870684922521797,0
4.7375549347769335,1.2001599000852656,1
-1.6956804056830803,7.783421811764368,0
5.677418780486001,1.4631532850859847,1
4.573799037580785,0.7621534841782756,1
4.1260119188914075,0.9139561620517804,1
2.5159831119182945,1.447414662259971,1
-4.028567589006764,8.530052055332073,0
-0.62301172184222,9.188863941030162,0
4.189813364748858,2.5960196162882307,1
4.950786401826106,3.448525900890284,1
-2.7015585878338726,9.315833470531937,0
-2.147561598005116,8.369166373593199,0
4.821745091286597,2.221390270241068,1
-3.282022837590322,8.777467521458314,0
4.047484911989232,1.1091789142609159,1
-2.3956802778015023,9.67641680271937,0
5.2639986532802565,2.601515193205012,1
3.033432515970529,2.176633319807955,1
3.1612925904482596,3.116923727147661,1
-2.728869510890262,9.37139869971007,0
4.972192848207693,1.2246831473841784,1
-1.9941623558440904,9.528072079110531,0
3.674955375647997,2.6592211439391713,1
-1.3506020440453461,8.193603809846612,0
-2.4393955380627315,8.628972531336563,0
-3.9877196134201776,8.294441919803615,0
4.658297215417653,3.649606996216015,1
-0.9231808069073981,7.776470629371474,0
-2.152182137087703,8.32137653293767,0
4.364827139076457,-0.32875148079485284,1
5.819176020291928,2.040688165350841,1
4.715683394421828,1.2960079724286202,1
3.989236267106274,1.4860443001760357,1
3.81438163943559,1.6517838422877387,1
