carat,depth,table,x,y,z,Cluster
4.392339397302452,70.0,68.72453859046892,6.646538120810251,10.0,2.166707421203892,2
5.0,70.0,56.35281894797543,3.317482176890727,3.0,6.0,2
4.16112916309261,59.43645192463364,64.940874478259,6.56124909237608,3.0,2.0,0
0.2,70.0,55.936565951150804,6.791424163078706,5.590846383065552,2.0,1
0.2,70.0,51.063670302907724,3.0,6.8386118545315515,2.0,2
1.660664453937605,55.0,50.0,7.675873057214589,10.0,5.917266859981474,2
5.0,70.0,54.59315793619727,10.0,8.886864937093737,6.0,0
5.0,68.64268661055202,60.15434320872906,6.022360376173139,10.0,6.0,1
5.0,56.66218384018945,50.0,3.0,10.0,6.0,0
3.726680908486824,70.0,59.326203973429294,10.0,7.468463356554911,4.762470906951201,2
5.0,60.423943793280394,54.18049973576746,3.0,6.014987644901931,3.6279844425036756,1
1.7433418008481611,55.50223158397121,53.812731336698434,3.0,3.0,5.926363654856133,2
0.2,57.502625096186605,55.03951800166001,3.0,10.0,3.6554095129753907,0
5.0,57.32083905913509,54.846601202475725,10.0,3.0,2.0,1
4.730963547125686,60.20832535942393,58.90324448932666,3.5619224741654234,3.0,5.559839718343584,1
0.2,65.47851317541856,51.3061593572637,3.0,3.0,2.104837152563615,0
0.2,68.12170858912059,50.0,6.757355375015105,10.0,2.0,2
0.2,62.06554808635207,56.61828345340296,3.0,4.6172548769499375,3.903944035997387,2
0.2,62.63022896244637,55.78320178327187,10.0,3.0,2.0,1
1.478672700184801,65.63161964348717,64.95406730750865,10.0,5.231255895831749,6.0,2
0.2,57.074159068531586,65.38249846827401,3.0,3.0,6.0,0
0.47366685800875924,64.3284256591273,50.0,3.0,8.784521041819723,2.0,0
0.2,62.79886759855147,60.40348968563818,9.536578661432173,3.0,2.0,0
1.2889369977395457,60.95825124732208,50.30565527054573,6.6302634181175435,3.0,6.0,2
5.0,70.0,50.745322382360825,10.0,3.0,2.0,0
0.2,60.370069014480194,60.194898592073955,10.0,3.0,2.0,0
1.7374899360766407,65.14389306208543,50.0,3.0,5.201912709303806,2.0,0
3.387787157385185,70.0,58.86702960317819,10.0,3.0,4.394311652702479,2
0.5885690391441436,70.0,58.194445885466685,3.0,3.0,6.0,1
4.675705433196449,66.10846707392712,50.0,5.828922675191842,3.0,6.0,1
0.2,62.38419711358138,53.85926433094626,10.0,9.819997499296962,6.0,2
1.3738161283301706,56.346575264617705,61.62910368096444,8.46287265468033,10.0,6.0,1
0.2,59.51819165972479,54.11174651565651,10.0,3.0,2.0,2
0.2,55.0,54.11370604627899,6.256026323171704,5.526289780888681,3.1750802262065645,1
0.2,70.0,61.41824469199364,10.0,7.077197036388969,6.0,2
5.0,69.3187316924626,64.25556843279472,3.0,10.0,6.0,2
4.561251516175709,65.17632170734188,55.401102349432236,3.0,10.0,2.0,2
0.2,64.75141552205852,51.03135557439054,10.0,3.0,2.0,2
0.2,70.0,55.03535057360025,10.0,10.0,2.0,2
5.0,62.15899114588575,50.0,4.084987198713468,10.0,6.0,2
2.1309719362202295,65.2523432941496,53.973706280952804,3.0,3.567781796326152,3.648184402490106,2
0.2,65.90870717653587,50.37352593996191,5.877218904258524,10.0,2.0,0
5.0,59.8142146007295,58.51500273773403,3.0,9.685088982601618,2.0,1
0.2,59.258474157072385,59.071697156135336,6.217305057185611,3.0,2.0,1
0.2,55.63714243980786,52.407589535070045,9.096271994057954,10.0,5.723947523872604,0
0.2,55.0,58.13845931660812,5.454997780109296,10.0,3.831406692361955,1
5.0,64.02606578688827,57.01807415606303,3.0,3.0,6.0,0
0.2,58.408599988563026,50.0,3.0,3.0,2.0,0
0.2,70.0,53.196785735223756,6.377886908958583,3.736892453708526,4.78873498301724,1
4.396427527467559,70.0,51.52773061751901,3.0,3.0,3.1866197519134034,2
0.2,58.761588300430674,62.90625007492361,6.6855441946989655,7.983840183554642,6.0,0
3.4177262573942606,66.58357115746017,61.016717526304106,3.0,10.0,6.0,1
3.2138533598498795,67.86001823878857,61.45581164805022,3.0,10.0,6.0,2
0.2,63.67046027127422,50.0,3.0,10.0,6.0,2
0.2,63.01466642955765,70.0,3.0,7.214128078694612,6.0,2
5.0,69.71053708026598,57.626072300176205,4.1148970696666565,7.825429503563621,2.0,1
0.2,58.58960618760255,60.09698590706718,3.0,3.0,4.327654086189342,0
3.2362189560337353,57.32374000866752,70.0,10.0,3.0,2.9047644359639397,2
2.887925221894466,61.86307488920502,59.28987772955783,3.0,10.0,5.6878167572442955,2
5.0,70.0,54.9356062719505,3.0,7.29348014672769,6.0,2
2.1270209727680838,67.07109808082872,66.37066630750579,3.0,4.623104627365651,6.0,1
0.2,56.17250883417709,50.63549464090572,3.0,3.5420070567839845,2.0,0
0.2,65.07941870516744,62.08099332075479,3.180989099560798,10.0,2.0,0
0.2,55.0,59.80769576349695,8.883717223552315,8.420626848120126,2.0,2
0.2,55.0,62.02834062022739,9.954210797925505,3.0,6.0,0
5.0,58.448506286451035,57.912676476752885,10.0,3.0,2.0,0
5.0,60.91782951140019,50.0,4.430222151031787,8.645140859965078,6.0,2
0.2,56.6861371242784,50.0,10.0,3.327413230093931,5.747890820434651,2
0.2,58.744864499480066,60.80134681506526,7.562276962204309,7.174066526926789,6.0,2
0.2,59.30629063810678,68.6904585296633,10.0,5.484786023150093,5.691803686176802,1
3.5594497977310384,70.0,52.496557527439755,6.548737824077579,10.0,2.0,2
5.0,68.41402296364711,69.04425221378037,3.0,8.032305571749049,6.0,2
2.050568839197699,70.0,61.709746045468826,3.0,10.0,4.478057965071999,0
5.0,62.17251137368443,65.2605694473015,3.0,6.241931904903024,2.0,0
0.2,67.59930691302611,55.11865137500423,10.0,3.0,3.923352374622138,0
0.2,56.86983227391368,59.6816979647135,3.0,4.147760741940962,5.2316710894877145,0
0.732919047792769,55.0,61.90894576526729,3.0,3.3821631590780648,2.0,0
5.0,69.2394526359964,53.784359868482916,3.0,3.0,6.0,1
2.5722696621575727,56.22294387115883,54.56718845755071,10.0,10.0,6.0,1
3.260673666004762,56.44623574800507,52.685930638370756,3.0,10.0,6.0,1
5.0,70.0,54.53000378568684,4.423751048706531,3.0,6.0,0
0.2,59.97878767559452,50.0,10.0,10.0,3.9802486083453763,0
5.0,55.0,69.4321308194928,10.0,8.630730903557,6.0,0
5.0,55.0,50.08731183974134,3.0,9.952869356905461,6.0,0
2.0816284920143557,63.67869293686672,65.0414040212949,3.0,10.0,2.0,0
4.270654012578126,70.0,56.11920493736879,6.358200223671791,8.54262227669362,2.0,0
0.2,55.32897564471404,58.289560814919014,10.0,3.0,6.0,2
1.8179900272870384,66.68135569150535,50.0,10.0,5.555703633519317,2.0,0
4.982530986381116,55.0,52.2293359986146,3.0,3.445926096976018,6.0,0
0.2,55.0,59.94369968644407,10.0,10.0,6.0,2
5.0,61.90862066512172,56.141966415130206,10.0,3.0,2.0,0
0.2,63.22672987924789,63.717469443073135,3.0,10.0,6.0,0
5.0,55.0,61.42995045490852,3.0,3.0,2.0,0
5.0,70.0,58.72292218525234,3.0,6.963987545097093,2.0,2
0.2,68.5385480507468,56.2250519303228,4.705088982795025,10.0,5.664866486092436,1
5.0,69.3684861424943,50.0,10.0,10.0,6.0,1
0.2,65.51930646170857,61.071925963802315,3.0,5.187319104894209,2.0,1
2.85302248342954,68.84022384666007,51.55476058566729,4.362166966747195,3.0,6.0,0
2.692786367405955,55.257482844689804,67.17610112641867,6.231084140099418,7.956126530748007,2.0,2
5.0,69.19854800957012,65.32629659300342,10.0,3.0,6.0,2
0.2,55.0,53.1867467150526,7.8816250317773395,3.0,2.0,0
1.2936881042153072,63.47125719533016,50.0,10.0,3.6370659021871967,2.6041550251587062,0
0.2,56.47580805730033,53.4874848406664,10.0,10.0,6.0,1
0.2,57.424653186093224,63.630282473036,10.0,8.800523559856277,2.0,2
0.2,67.10442255651488,56.3781535835028,5.913520691983361,5.326359702692947,6.0,2
0.2,64.95768308288208,59.86962207025307,5.727321972962141,9.576368232727642,3.7541336178638343,2
3.5101494111231037,55.0,61.87926069208025,10.0,3.0,2.5020457062457493,1
5.0,57.99218523896157,65.3972381137355,10.0,9.639732965564937,2.0,0
5.0,63.97276564790647,62.41666041085016,4.1682419568832065,7.2310941326808,6.0,1
3.743905420164172,60.7617432621032,62.52260768842029,3.0,6.80555882163283,5.348681275280499,2
0.2,60.810966373291116,60.03342526999879,3.0,3.0,2.0,1
0.2,65.01424523853244,62.35445341016338,3.0,6.695858313389833,6.0,2
1.717015634317489,64.51459735198087,50.0,3.0,3.0,6.0,2
5.0,55.0,67.52565992629955,3.5345189691516934,3.0,2.0,0
5.0,66.72854231915655,53.593516599376265,7.610509901326955,3.0,2.0,0
0.2,62.63242140701558,58.85176016664017,10.0,10.0,2.0,0
2.2788164534409887,68.74767092897024,54.49011722142009,10.0,3.0,6.0,2
5.0,70.0,56.01199194998421,3.0,4.893578134598043,2.0,1
1.4937899281808535,55.0,64.0543369848955,9.199721853439982,6.908040483258957,4.84545843214044,2
0.2,57.86559254557383,51.208958175573535,10.0,9.688530494089443,2.0,1
5.0,61.7774287225162,62.99786372633986,6.3815012034241265,3.0,4.938533008266372,0
3.1564371459251572,63.56934457368571,69.63856988083916,10.0,3.0,3.409766305608151,2
